"Salesperson Code","Salesperson Name","Customer Category","Customer Number","Cust Name","City","State","Zip Code","Sales YTD","GP Dollars YTD","GP Percent YTD","Last Year Sales Year To Date","GP Dollars LYTD","GP Percent LYTD","Last Invoice Date","Last Payment Date","AR Balance"
"176","DAVID HEISS","033","0016552","STATEN ISLAND UNIV HOSP-SOUTH","NEW HYDE PARK","NY","11040","37849.66","6678.32","17.64","186771.95","14306.63","19.21","04/13/2021","04/08/2021","23463.89"
"176","DAVID HEISS","001","0014775","RICHMOND UNIVERSITY MED CTR","STATEN ISLAND","NY","10310","40513.11","14709.19","36.31","217800.85","28224.23","22.11","04/16/2021","03/05/2021","22598.76"
"176","DAVID HEISS","033","0012664","SYOSSET MEDICAL CENTER","NEW HYDE PARK","NY","11040","26214.60","5290.81","20.18","119820.39","8773.80","19.95","04/14/2021","04/13/2021","16948.79"
"176","DAVID HEISS","033","1266900","ORZAC CENTER FOR EXT CARE C/O","NEW HYDE PARK","NY","11040","20340.35","5108.19","25.11","57945.46","2812.39","17.93","04/14/2021","04/13/2021","12652.81"
"176","DAVID HEISS","033","0012667","STERN FAMILY CTR FOR EXT CARE","NEW HYDE PARK","NY","11040","19933.27","3498.96","17.55","86137.38","8129.89","21.99","04/15/2021","04/15/2021","12110.65"
"176","DAVID HEISS","033","0010593","MANHATTAN EYE,EAR & THROAT","NEW HYDE PARK","NY","11040","21679.75","4389.51","20.25","63963.36","6930.33","21.53","04/13/2021","04/15/2021","9513.25"
"176","DAVID HEISS","001","0019761","WYCKOFF HEIGHTS MEDICAL CENTER","BROOKLYN","NY","11237","6700.85","2296.95","34.28","28509.53","3123.59","27.69","04/15/2021","03/05/2021","6700.85"
"176","DAVID HEISS","033","9697000","LENOX HILL GREENWICH VILLAGE ","NEW HYDE PARK","NY","11040","11478.32","2651.26","23.10","87495.84","6540.12","21.01","04/16/2021","04/13/2021","5409.90"
"176","DAVID HEISS","033","0001219","QUEENS MEDICAL ASSOCIATES","NEW HYDE PARK","NY","11040","4286.70","945.60","22.06","18249.09","1373.48","25.73","04/13/2021","03/23/2021","4184.66"
"176","DAVID HEISS","001","0009870","NORTH SHORE/LIJ HEALTH SYSTEMS","AMITYVILLE","NY","11701","4470.30","869.86","19.46","61496.77","7213.80","23.59","04/12/2021","04/12/2021","3323.50"
"176","DAVID HEISS","004","0001221","CClean","Chappaqua","NY","10514","3035.13","746.29","24.59","9353.26","1423.64","28.22","04/12/2021","02/19/2021","1898.30"
"176","DAVID HEISS","033","0009884","SATELLITE DIALYSIS","NEW HYDE PARK","NY","11042","3019.91","550.52","18.23","17243.09","1067.32","16.00","04/14/2021","04/13/2021","1701.93"
"176","DAVID HEISS","033","0009886","AMBULATORY SERVICES","NEW HYDE PARK","NY","11042","669.93","126.97","18.95","2856.73","335.84","19.40","03/31/2021","04/15/2021","483.42"
"176","DAVID HEISS","003","0015411","SALVATION ARMY","NEW YORK","NY","10025","0.00","0.00","0.00","0.00","0.00","","08/25/2011","09/26/2011",""
"176","DAVID HEISS","016","0110400","MADISON SQUARE GARDEN","NEW YORK","NY","10121-0091","0.00","0.00","0.00","0.00","0.00","","09/24/2015","10/29/2015",""
"176","DAVID HEISS","001","0013670","PARKWAY HOSPITAL","FOREST HILLS","NY","11375","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","005","0003120","THE COCA-COLA COMPANY","ATLANTA","GA","30313","0.00","0.00","0.00","0.00","0.00","","04/20/2015","05/22/2015",""
"176","DAVID HEISS","020","0011960","ACCOUNT CLOSED AS PER A.J.9/95","HEMPSTEAD","NY","11550-5420","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","017","0017280","SUNRISE MULTIPLEX CINEMA","VALLEY STREAM","NY","11580","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0003229","NY PRESBYTERIAN c/o COLUMBIA","NEW YORK","NY","10032","0.00","0.00","0.00","76.54","0.00","","09/25/2020","12/28/2020",""
"176","DAVID HEISS","011","0017309","SUNFLOWER SCHOOL","FREEPORT","NY","11520","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","020","0015565","SAW MILL MULTIPLEX CINEMA","HAWTHORNE","NJ","10532","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","01","JESS000","JESSIE'S CLEAN SWEEP, INC","BALDWIN","NY","11510","219.87","75.76","34.46","0.00","0.00","","02/19/2021","02/23/2021",""
"176","DAVID HEISS","005","0017350","SUPERSOL LTD.","LAWRENCE","NY","11559","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","020","0017351","SUPERSOL OF QUEENS","FLUSHING","NY","11367","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","01","collect","collections","","","","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","002","0019209","WARTBURG HOME OF THE","MT VERNON","NY","10552","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","002","0001631","BIRCHWOOD NURSING HOME","HUNTINGTON STA","NY","11746","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","008","0017478","TEN EYCK TROUGHTON RESIDENCE","NEW YORK","NY","10016","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","005","0012210","NEWSDAY INC.","MELVILLE","NY","11747","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","020","0017490","FIVE STAR PATROL CORP.","ROSEDALE","NY","11422","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","020","POINTS0","POINTS OF LIGHT","ATLANTA","GA","30318","0.00","0.00","0.00","0.00","0.00","","03/17/2017","04/24/2017",""
"176","DAVID HEISS","002","0013985","PARKER JEWISH GERIATRIC INST.","NEW HYDE PARK","NY","11040","0.00","0.00","0.00","0.00","0.00","","11/30/2016","02/16/2017",""
"176","DAVID HEISS","002","0013989","PARKSIDE EVANGELINE RESIDENCE","NEW YORK","NY","10003","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","008","0015760","INC.VILLAGE OF SEA CLIFF","SEA CLIFF","NY","11579-0340","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0005228","FLUSHING HOSPITAL","FLUSHING","NY","11355","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","011","0019360","WEBB INST. NAVAL ARCH.","GLEN COVE","NY","11542","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","020","0001809","BOVIS LEND LEASE HOLDINGS,INC","GLEN OAKS","NY","11004","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0010611","SODEXHO MARRIOTT C/O FRANKFORD","PHILADELPHIA","PA","19114","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0010614","SODEXHO MARRIOTT C/O FRANKFORD","PHILADELPHIA","PA","19124","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0010622","SODEXHO MARRIOTT C/O MEDICAL","PHILADELPHIA","PA","19129","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0010626","SODEXHO C/O INTERFAITH MED CTR","BROOKLYN","NY","11213","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0010627","CLARA MAASS HEALTH SYSTEM","BELLEVILLE","NJ","07109","0.00","0.00","0.00","0.00","0.00","","12/19/2013","02/28/2014",""
"176","DAVID HEISS","016","0019431","WEST KINGSBRIDGE APTS CO.","BRONX","NY","10468","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","011","0014190","PORTLEDGE SCHOOL","LOCUST VALLEY","NY","11560","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","020","0010689","SODEXHO SERVICES C/O","NEWARK","NJ","07102","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","017","0008940","JORDAN LOBSTER FARM","ISLAND PARK","NY","11558","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","002","0008950","JONES MANOR ON THE SOUND","BAYVILLE","NY","11709","0.00","0.00","0.00","0.00","0.00","","03/06/2015","03/27/2015",""
"176","DAVID HEISS","001","0003694","CROTHALL SERVICES","BAY SHORE","NY","11706","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","016","0014252","PRESTIGE BAY PLAZA DEVEL CORP","NEW YORK","NY","10036","0.00","0.00","0.00","0.00","0.00","","03/23/2012","05/18/2012",""
"176","DAVID HEISS","020","0007229","HOME ASSISTANCE PERSONNEL,INC.","BRONX","NY","10463","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","015","0001960","T.P. PACKAGING,INC. D/B/A","BALDWIN","NY","11510","0.00","0.00","0.00","122.62","29.02","23.67","02/24/2020","03/09/2020",""
"176","DAVID HEISS","011","0000201","ADULTS & CHILDREN WITH","BETHPAGE","NY","11714","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0010780","SODEXHO C/O NY HOSP CENTER","FLUSHING","NY","11355","0.00","0.00","0.00","0.00","0.00","","01/30/2012","03/19/2012",""
"176","DAVID HEISS","001","SUNYD01","SUNY DOWNSTATE MEDICAL CENTER","BROOKLYN","NY","11203","0.00","0.00","0.00","0.00","0.00","","04/03/2018","05/04/2015",""
"176","DAVID HEISS","005","0002000","DAYTON T. BROWN INC.","BOHEMIA","NY","11716","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","020","0019600","WHITESTONE MULTIPLEX","BRONX","NY","10465","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","016","0003830","DAN ASSOCIATES","NEW YORK","NY","10018","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","006","0000316","AIRPORT SERVICE L.T.D.","MORICHES","NY","11955","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","013","0007360","EAST ROCKAWAY HOSE CO #1","EAST ROCKAWAY","NY","11518","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","016","0000379","568 BROADWAY PROPERTY LLC","NEW YORK","NY","10018","0.00","0.00","0.00","0.00","0.00","","05/19/2017","06/14/2017",""
"176","DAVID HEISS","003","0003915","THE FIRST PRESBYTERIAN CHURCH","NEW YORK","NY","10011","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","002","0019749","W.K. NURSING HOME CORP.","BRONX","NY","10468","0.00","0.00","0.00","0.00","0.00","","06/23/2016","09/30/2016",""
"176","DAVID HEISS","001","0009211","KINGSBROOK JEWISH MEDICAL CTR","BROOKLYN","NY","11203","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","008","0012816","NYC DEPT OF ENVIR PROTECTION","FLUSHING","NY","11373-5108","0.00","0.00","0.00","0.00","0.00","","12/18/2015","12/23/2015",""
"176","DAVID HEISS","020","0000550","AMBOY MULTIPLEX CINEMAS","PERTH-AMBOY","NJ","08862-0230","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","020","0011110","WYNDHAM WINDWATCH HOTEL","HAUPPAUGE","NY","11788","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0012870","NY PRESBYTERIAN-WEILL CORNELL,","NEW YORK","NY","10021","0.00","0.00","0.00","0.00","0.00","","04/13/2018","02/02/2018",""
"176","DAVID HEISS","001","0012874","NY PRESBYTERIAN HOSP C/O","NEW YORK","NY","10034","0.00","0.00","0.00","0.00","0.00","","08/15/2013","12/05/2013",""
"176","DAVID HEISS","008","0000589","AMERICAN MUSEUM OF NATURAL","NEW YORK","NY","10024","0.00","0.00","0.00","3000.00","0.00","","06/11/2020","07/06/2020",""
"176","DAVID HEISS","011","0012916","NEW YORK MEDICAL COLLEGE","VALHALLA","NY","10595","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","006","0007670","INDEPENDENT COACH CORP.","INWOOD","NY","11696","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","020","0007690","INFLIGHT NEWSPAPER,INC.","VALLEY STREAM","NY","11580","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","002","0005962","GLEN COVE SENIOR CENTER","GLEN COVE","NY","11542","0.00","0.00","0.00","219.13","42.15","31.51","11/13/2020","12/11/2020",""
"176","DAVID HEISS","001","0007738","INTERFAITH MEDICAL CENTER","BROOKLYN","NY","11213","0.00","0.00","0.00","0.00","0.00","","12/08/2014","04/02/2015",""
"176","DAVID HEISS","001","0007739","INTERFAITH MEDICAL CENTER","BROOKLYN","NY","11238","0.00","0.00","0.00","0.00","0.00","","12/08/2014","",""
"176","DAVID HEISS","004","0000710","ANDREW'S CARPET & FLOOR","ROCKVILLE CENTR","NY","11570","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","01","STORM 0","STORM BASEBALL","WEST HEMPSTEAD","NY","11040","0.00","0.00","0.00","0.00","0.00","","12/09/2019","12/10/2019",""
"176","DAVID HEISS","001","0009519","LANCASTER GENERAL HOSPITAL","LANCASTER","PA","17604","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","019","0007780","INWOOD COUNTRY CLUB","INWOOD","NY","11696","0.00","0.00","0.00","0.00","0.00","","04/09/2018","04/10/2018",""
"176","DAVID HEISS","011","0016600","ST ANDREWS SCHOOL","ROOSEVELT","NY","11575","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","005","0009570","ESTEE LAUDER","MELVILLE","NY","11746","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","016","0014875","ROCKBEACH REALTY C/O DG","NEW YORK","NY","10018","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","020","0013123","T.C. CONSTRUCTION & DEV CORP","W.HEMPSTEAD","NY","11552","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","003","0016655","ST BARTHOLOMEW'S CHURCH","NEW YORK","NY","10022","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","013","0004380","ELMONT HOOK & LADDER#2","ELMONT","NY","11003","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0004405","BELLEVUE WOMAN'S HOSPITAL","NISKAYUNA","NY","12309","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","002","0016782","ST JAMES PLAZA","ST JAMES","NY","11780","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","003","0016801","ST JOHN'S LUTHERAN CHURCH","WILLISTON PARK","NY","11596","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","003","0016820","ST JOACHIMS RECTORY","CEDARHURST","NY","11516","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","011","0011570","MILL NECK MANOR LUTHERAN","MILL NECK","NY","11765","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0013337","OUR LADY OF MERCY MEDICAL CTR","BRONX","NY","10470-0263","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0009881","LONG ISLAND JEWISH HOSPITAL","GLEN OAKS","NY","11004","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0009885","SCHNEIDERS EARLY CHILDHOOD","NEW HYDE PARK","NY","11042","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","002","0008141","JEWISH HOME & HOSPITAL","NEW YORK","NY","10025","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0011687","MORRISTOWN HOSPITAL","MORRISTOWN","NJ","07960","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","020","0004660","FAC. MGT. OF NY (HYATT)","UNIONDALE","NY","11553","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","NYPRES0","NY PRESBYTERIAN","NEW YORK","NY","10038","0.00","0.00","0.00","0.00","0.00","","05/22/2014","06/12/2015",""
"176","DAVID HEISS","017","0002930","CHWATSKY'S DEPT. STORE","OCEANSIDE","NY","11572","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","006","0009980","LONG ISLAND RAIL ROAD C/O LIRR","NEW YORK","NY","10001-2402","44113.15","10203.56","23.13","1415935.08","141536.84","28.83","03/31/2021","04/16/2021",""
"176","DAVID HEISS","011","0006470","GRENVILLE BAKER BOY & GIRL CL","LOCUST VALLEY","NY","11560","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0017077","V.A. MEDICAL CENTER","BRONX","NY","10468","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0006539","HACKETTSTOWN COMMUNITY HOSP.","HACKETTSTOWN","NJ","07840","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","011","0011820","MOUNT SAINT MARY COLLEGE","NEWBURGH","NY","11250-3494","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0011822","MOUNT SINAI MEDICAL CENTER","NEW YORK","NY","10029","0.00","0.00","0.00","0.00","0.00","","06/21/2012","09/18/2012",""
"176","DAVID HEISS","001","0011823","MOUNT SIANI MED CTR OF QUEENS","LIC","NY","11102","0.00","0.00","0.00","0.00","0.00","","","",""
"176","DAVID HEISS","001","0131452","SUNY DOWNSTATE MEDICAL CENTER","SEAFORD","NY","11783","0.00","0.00","0.00","0.00","0.00","","07/06/2015","09/30/2015",""
